año,mes,nombre_mes,estado,índice,var_mensual,var_acum,var_12
2021,8,Agosto,R,100.913048284554,-0.289092072175234,0.544097423064138,1.55713465577365
2021,9,Septiembre,R,100.092515643557,-0.813108567172582,-0.273435246869158,0.364769034777312
2021,10,Octubre,R,99.3300647704896,-0.76174613872515,-1.03309850315937,-0.0637669899338
2021,11,Noviembre,R,99.5595839508602,0.231067180818711,-0.804418473926982,-0.780912173110737
2021,12,Diciembre,R,100.058343360579,0.500965743253001,-0.307482591660757,-0.307482591660757
2022,1,Enero,R,100.681085652285,0.622379174780185,0.622379174780185,-0.139178331639467
2022,2,Febrero,R,100.227622339281,-0.450395732292874,0.169180273245439,-0.168651549874921
2022,3,Marzo,R,99.566841798293,-0.65927987271982,-0.491214970964504,-1.72113841084355
2022,4,Abril,R,98.8107414610928,-0.75938969595104,-1.24687443104107,-2.18963436054539
2022,5,Mayo,R,98.6904890297623,-0.121699756071481,-1.36705674397145,-1.67816277120519
2022,6,Junio,R,98.5157051095743,-0.177103104773657,-1.54173874880752,-2.16626249253826
2022,7,Julio,R,98.3251765173032,-0.193399206815947,-1.7321562451121,-2.84613546646199
2022,8,Agosto,R,98.2463603850744,-0.0801586480904115,-1.81092642017362,-2.64256005027224
2022,9,Septiembre,R,97.7637391721895,-0.491235717021243,-2.29326621980999,-2.32662398021928
2022,10,Octubre,R,97.6918699642585,-0.0735131537926259,-2.36509352127957,-1.64924367060096
2022,11,Noviembre,R,97.2901745714559,-0.411186102742778,-2.76655468814598,-2.27944843614896
2022,12,Diciembre,R,98.3444806077369,1.08367164610923,-1.71286341076631,-1.71286341076631
2023,1,Enero,R,99.6505200839675,1.32802519079844,1.32802519079844,-1.02359401633503
2023,2,Febrero,R,99.5435324819837,-0.107362813454159,1.21923657213607,-0.682536252313803
2023,3,Marzo,R,99.6424237263912,0.099344720788741,1.31979254009316,0.0759107417018789
2023,4,Abril,R,99.6318392015477,-0.0106225084131828,1.30902983660637,0.830980243962864
2023,5,Mayo,R,100.139272676546,0.509308549420218,1.82500538689889,1.46800736426249
2023,6,Junio,R,100.964879142271,0.824458220694413,2.66451001453369,2.48607471262867
2023,7,Julio,R,101.001154498432,0.0359286877462228,2.70139602576303,2.72155929530162
2023,8,Agosto,R,100.784312143321,-0.21469294701425,2.48090337201055,2.58325270096382
2023,9,Septiembre,R,101.283181646485,0.494987257992219,2.98817078557732,3.59994667153307
2023,10,Octubre,R,101.11748036673,-0.163601969311744,2.81968011001397,3.506546044952
2023,11,Noviembre,R,100.524409035607,-0.586517117487129,2.21662508602323,3.32431766969021
2023,12,Diciembre,R,101.869795032837,1.33836747724965,3.58465915251678,3.58465915251678
2024,1,Enero,R,102.421590660033,0.541667554173286,0.541667554173286,2.78078887468969
2024,2,Febrero,R,101.769733730954,-0.636444840270911,-0.098224701297589,2.23640973297083
2024,3,Marzo,R,102.065902485606,0.291018502057816,0.192507948705845,2.43217564224378
2024,4,Abril,R,101.957429639314,-0.106277261700372,0.0860260948290392,2.3341839881748
2024,5,Mayo,R,102.108745659472,0.148410979653479,0.234564746652599,1.96673386003829
2024,6,Junio,R,103.425187194817,1.28925443833723,1.52684332139683,2.43679591700265
2024,7,Julio,R,104.317702658141,0.862957551764176,2.4029768829066,3.28367351460379
2024,8,Agosto,R,104.450164153052,0.1269789225953,2.53300707965805,3.63732403562826
2024,9,Septiembre,R,105.068166748439,0.591672210760241,3.13966638940522,3.73703219075909
2024,10,Octubre,R,104.174909345901,-0.850169399716383,2.26280450679293,3.02364039143637
2024,11,Noviembre,R,104.170552652551,-0.00418209468809883,2.25852777947775,3.62712265799257
2024,12,Diciembre,R,105.105781532344,0.897786232269393,3.17659076320327,3.17659076320327
2025,1,Enero,R,105.676333151108,0.542835618027215,0.542835618027215,3.17778943882874
2025,2,Febrero,R,105.362859484473,-0.296635639491949,0.244589734628331,3.5306427773691
2025,3,Marzo,R,105.361686549471,-0.00111323383581441,0.243473777936831,3.22907453282968
2025,4,Abril,R,105.505518441571,0.136512518744247,0.38031866886783,3.47997082194873
2025,5,Mayo,R,105.63669767195,0.124333999127546,0.505125533405781,3.45509289110657
2025,6,Junio,R,106.799631088917,1.10088013218532,1.61156649223098,3.26269063235456
2025,7,Julio,R,106.393825057573,-0.379969506642353,1.22547352433888,1.99019183372526
2025,8,Agosto,R,106.562228156714,0.158282775386942,1.38569601323177,2.02207820426905
2025,9,Septiembre,R,106.542105181178,-0.0188837788814733,1.36655056257919,1.4028401544949
2025,10,Octubre,R,106.692576581166,0.141231862963309,1.50971243036038,2.41676930757391
2025,11,Noviembre,R,106.74946554133,0.053320448326688,1.56383786412337,2.47566401743189
2025,12,Diciembre,R,107.756560528167,0.943419230935172,2.52201064220934,2.52201064220934
2026,1,Enero,R,107.871344614418,0.106521668553716,0.106521668553716,2.07710789905211
2026,2,Febrero,R,108.066132787094,0.180574529196553,0.287288548751752,2.56567951538802
2026,3,Marzo,R,107.744193375946,-0.297909625193782,-0.0114769366808321,2.26126489096798
2026,4,Abril,R,107.234762384278,-0.472815263362703,-0.484237935335141,1.63900805213708
2026,5,Mayo,R,109.10778771005,1.74665871787036,1.25396279842247,3.28587518788173
2026,6,Junio,R,110.290045073786,1.08356826634393,2.35111860772186,3.26818917751044
2026,7,Julio,P,110.803829487202,0.46584840279309,2.82791965899678,4.14498156001357
